Nazwa	Skrót	Kod	Kod paskowy	Pierwszy dod. kod pask.	Typ	Kod grupy	Grupa	Jednostka	PKWiU	VATs	VATz	Ilość	Opak.zb.	Gramatura	Ce.zak.netto	Ce.sprz.netto	Ce.sprz.brutto	WPromocji:	Używaj limitów	Limit dolny	Limit górny	Marza bazowa	Narzut bazowy	Zapas na	LiczbaDniPrzydatnosci	Fotografia	Uwagi	Klas1	Klas2	Klas3	Klas4	Klas5	Klas6	Klas7	Klas8	Klas9	Klas10	DataWpisu	Opis
Ergolid INNOVA-TERMn 120L -35st.		3317			Towar	2	MARKA SP. Z O.O.	l	Bez SWW	23%	23%	120	1	1	5.70	6.99	8.60		0	1	1			14														2015-02-09	
CU RURA   15 x 1,0  miękka w kręgu   25m HUTMEN		3318			Towar	1	Ogólna	mb	Bez SWW	23%	23%	25	1	1	11.00	13.74	16.90		0	1	1			14														2015-02-09	
CU RURA   18 x 1,0  miękka w kręgu   25m HUTMEN		3319			Towar	1	Ogólna	mb	Bez SWW	23%	23%	50	1	1	13.50	17.07	21.00		0	1	1			14														2015-02-09	
Otulina INSUL TUBE HT kauczuk 18x13 2m		3320			Towar	1	Ogólna	mb	Bez SWW	23%	23%	50	1	1	4.80	5.37	6.60		0	1	1			14														2015-02-09	
Uchwyt do rur 50 odkurzacz centralny		3321			Towar	1	Ogólna	mb	Bez SWW	23%	23%	38	1	1	0.84	1.22	1.50		0	1	1			14														2015-02-09	
Otulina ARMAFLEX AC 15x13 kauczuk 2m		3322			Towar	1	Ogólna	mb	Bez SWW	23%	23%	50	1	1	2.58	3.25	4.00		0	1	1			14														2015-02-09	
Otulina ARMAFLEX AC 18x13 kauczuk 2m		3323			Towar	1	Ogólna	mb	Bez SWW	23%	23%	50	1	1	2.72	3.90	4.80		0	1	1			14														2015-02-09	
M.KAN W Czwórnik 50 / 67*	002542	3314			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	2	1	1	7.65	8.94	11.00		0	1	1			14			AQUER											2015-02-09	
Klapka KOŁO Slim chrom		3309			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	92.00	113.82	140.00		0	1	1			14														2015-02-06	
BATERIA umywalkowa stojąca OM MURRAY wysoka	COMFORT MU6112C	3308			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	302.00	308.13	379.00		0	1	1			14														2015-02-06	
Bateria natryskowa OM MURRAY MU6144		3307			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	634.00	679.67	836.00		0	1	1			14														2015-02-06	
Bateria bitet OM MURRAY		3306			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	182.00	201.63	248.00		0	1	1			14														2015-02-06	
BATERIA umywalkowa stojąca OM MURRAY 6110		3305			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	180.00	200.00	246.00		0	1	1			14														2015-02-06	
WYMIENNIK PŁYTOWY 1* 30kW GOSHE		3301			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	347.75	405.69	499.00		0	1	1			14														2015-02-03	
PODGRZEWACZ PŁASZCZOWY METALBET 140L		3300			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	568.08	626.02	770.00		0	1	1			14														2015-02-03	
Sterownik przylgowy		3304			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	-1	1	1	0.01	69.11	85.00		0	1	1			14														2015-02-03	
IMM. STER.  TYBOX 21		3303			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	81.00	105.69	130.00		0	1	1			14														2015-02-03	
IMM. Zbiornik UBS 250L SOL V.2		3302			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	1847.40	2308.94	2840.00		0	1	1			14			"napęd zaworu trójdrogowego, rurki podłączeniowe, sonda temp. zasob.
3.022193"											2015-02-03	
Grzejnik COSMO V33 600x800		3298			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	447.15	550.00		0	1	1			14														2015-02-01	
Grzejnik COSMO V33 900x800		3299			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	495.93	610.00		0	1	1			14														2015-02-01	
M.PPCT Kolano 40/90* nyplowe		3288			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	1.24	3.09	3.80		0	1	1			14			"PPR                          
POLIMARKY"											2015-01-19	
Grzejnik COSMO V11 900x400		3284			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	178.50	227.64	280.00		0	1	1			14														2015-01-19	
Grzejnik COSMO V11 300x400		3285			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	130.55	166.67	205.00		0	1	1			14														2015-01-19	
M.PPCT Trójnik red 40/32		3287			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	0.01	3.58	4.40		0	1	1			14			"PPR/CT                          czarna do 90*C
POLIMARKY"											2015-01-19	
M.TERMOFLEX sztanga szara 42x13		3289			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	0.01	4.55	5.60		0	1	1			14			"sztanga=2mb
FRZ J-42/13 THERMAFLEX"											2015-01-19	
M.TERMOFLEX sztanga szara 35x13		3290			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	0.01	3.41	4.20		0	1	1			14			"sztanga=2mb
FRZ J-42/13 THERMAFLEX"											2015-01-19	
Konsola montażowa nagrzewnicy		3292			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	158.54	195.00		0	1	1			14														2015-01-19	
Regulatro prędkości obrotowej		3293			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	161.79	199.00		0	1	1			14														2015-01-19	
Zawór dwudrogowy z siłownikiem		3294			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	181.30	223.00		0	1	1			14														2015-01-19	
Termostat nagrzewnicy		3295			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	39.84	49.00		0	1	1			14														2015-01-19	
IMM. KOCIOŁ  PRO TT 35		3296			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	6600.81	8119.00		0	1	1			14														2015-01-19	
IMM. ROZETA BIAŁA    80		3297			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	7.72	10.49	12.90		0	1	1			14														2015-01-19	
M.TERMOFLEX sztanga czerw. 35x9	017894	3286			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	0.01	2.20	2.70		0	1	1			14			sztanga=2mb											2015-01-19	
Agregat ogrzewczy VOLCANO VR-1		3291			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	974.80	1199.00		0	1	1			14														2015-01-19	
IMM. Zestaw do podłączenia zasobnika c.w.u.	+ sonda	3283			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	195.65	219.51	270.00		0	1	1			14			K.Z60/100											2015-01-14	
Naczynie wyrównawcze okr. 20l  1*		3282			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	53.66	58.54	72.00		0	1	1			14														2015-01-14	
Sprzęgło hydrauliczne		3281			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	-1	1	1	0.01	324.39	399.00		0	1	1			14														2015-01-14	
Deska sedesowa armatura		3280			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	0.01	43.90	54.00		0	1	1			14			SAFARII											2014-12-31	
Deska sedesowa antybakteryjna		3279			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	0.01	43.90	54.00		0	1	1			14			SAFARII											2014-12-31	
Umywalka INGA 57 b/o wisz. 1610-111-157		3278			Towar	2	MARKA SP. Z O.O.	mb	Bez SWW	23%	23%	0	1	1	65.04	89.43	110.00		0	1	1			14														2014-12-22	
Podgrzewacz elektryczny PERFEKT 4,5KW nadumywalkowy		3277			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	154.47	170.73	210.00		0	1	1			14														2014-12-22	
IMM.K.Kolano KS 120/90 B2		3271			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	36.60	56.91	70.00		0	1	1			14														2014-12-20	
IMM.K.Rura KS 120/0,5m B2		3270			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	22.15	34.15	42.00		0	1	1			14														2014-12-20	
IMM.K.Rura KS 110/0,5m B2		3267			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	20.11	30.89	38.00		0	1	1			14														2014-12-20	
IMM.K.Rura KS 120/1m B2		3269			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	37.44	56.91	70.00		0	1	1			14														2014-12-20	
IMM.K.Rura KS 130/0,5m B2		3273			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	25.15	38.21	47.00		0	1	1			14														2014-12-20	
IMM.K.Rura KS 110/1m B2		3276			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	33.37	51.22	63.00		0	1	1			14														2014-12-20	
IMM.K.Kolano KS 130/90 B2		3274			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	38.47	59.35	73.00		0	1	1			14														2014-12-20	
IMM.K.Kolano KS 110/90 B2		3268			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	34.67	52.85	65.00		0	1	1			14														2014-12-20	
IMM.K.Kolano KS 130/90 B2   regulowane		3275			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	39.54	60.98	75.00		0	1	1			14														2014-12-20	
IMM.K.Rura KS 130/1m B2		3272			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	41.53	63.41	78.00		0	1	1			14														2014-12-20	
Syfon umywalkowy podtynkowy SANIT chrom		3266			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	82.93	102.00		0	1	1			14														2014-12-19	
M.KAN W Trójnik 110/50 - 45* WAVIN		3264			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	9	1	1	6.79	8.78	10.80		0	1	1			14			WAVIN											2014-12-18	
IMM.K.Kolano KS 110/90 B2   regulowane		3263			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	35.35	54.39	66.90		0	1	1			14														2014-12-18	
Grzejnik COSMO V11 600x520		3265			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	144.21	195.12	240.00		0	1	1			14														2014-12-18	
IMM.K.Rura    110 x 1000		3262			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	33.37	52.03	64.00		0	1	1			14														2014-12-18	
Zlew U AP-196D 500x580 len		3258			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	154.47	182.11	224.00		0	1	1			14														2014-12-17	
Brodzik GOLIAT prost.90x80x3x5,5   598		3261			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	284.55	333.33	410.00		0	1	1			14														2014-12-17	
Kabina prysz. SANIKA ALMATEA KDJ 800x900 lewa przej		3260			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1401.83	1540.65	1895.00		0	1	1			14			"SANIKA PREMIUM PLUS E 1000x800x1900 ch/graf
RADAWAJ"											2014-12-17	
Obudowa do wanny 130/130 220		3259			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	235.50	242.28	298.00		0	1	1			14														2014-12-17	
Umywalka - wspornik umywalki		3254			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	6.78	9.76	12.00		0	1	1			14														2014-12-11	
Odpowietrznik solarny automatyczny do 200°C		3252			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	47.97	72.36	89.00		0	1	1			14														2014-12-11	
Zlew emaliowany OLKUSZ JK B-51		3253			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	85.00	100.00	123.00		0	1	1			14														2014-12-11	
Brodzik GOLIAT prost.100x80x3x5,5   351		3255			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	316.00	365.85	450.00		0	1	1			14														2014-12-11	
Kabina prysz. SANIKA ALMATEA KDJ 800x1000 lewa przej		3257			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	1452.44	1593.50	1960.00		0	1	1			14			"SANIKA PREMIUM PLUS E 1000x800x1900 ch/graf
RADAWAJ"											2014-12-11	
Stelaż WC zestaw podtynkowy SOLANIE		3256			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	399.00	470.73	579.00		0	1	1			14			WINKIEL											2014-12-11	
Miska WC wisząca NIVE (armatura)		3251			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	149.00	186.18	229.00		0	1	1			14														2014-12-09	
KOLANO pod baterie CHROM		3250			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	18.29	18.86	23.20		0	1	1			14														2014-12-09	
Bateria wannowa YUKON OM.EXP solo3330		3249			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	104.88	145.53	179.00		0	1	1			14														2014-12-09	
Słuchawka prysznicowa ORCA KCH		3248			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	14.40	23.58	29.00		0	1	1			14														2014-12-09	
Umywalka ROBERTO 50 meblowa		3247			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	71.00	89.43	110.00		0	1	1			14														2014-12-09	
Odpowietrznik automatyczny do grzej. aluminiowego 1*		3246			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	0.01	23.58	29.00		0	1	1			14														2014-12-04	
Szafak umywalkowa CH LUX SUS-50 z otworem		3245			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	126.00	153.66	189.00		0	1	1			14														2014-12-01	
Podgrzewacz BIAWAR cwu poz. w piance z podw.węż.		3244			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	405.69	487.80	600.00		0	1	1			14			W-E100.25											2014-12-01	
Grzejnik COSMO V33 500x920		3242			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	339.50	434.96	535.00		0	1	1			14														2014-11-25	
Grzejnik COSMO V33 500x1400		3241			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	459.90	577.24	710.00		0	1	1			14														2014-11-25	
Grzejnik COSMO V33 500x1600		3240			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	509.25	634.15	780.00		0	1	1			14														2014-11-25	
PP Śrubunek 20 x 3/4*		3243			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	13.01	16.00		0	1	1			14														2014-11-25	
  ZAWÓR GRZYBKOWY   KĄT   1/2 * 1/2		3227			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	8.78	9.35	11.50		0	1	1			14														2014-11-21	
MUFA CZARNA  SPAW.  5/4*		3217			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	2.71	3.58	4.40		0	1	1			14														2014-11-21	
E.Gniazdko z programatorem mechanicznym		3218			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	10.35	13.78	16.95		0	1	1			14			programator.1dn.mech. 1FD/2A P5502   Emo/1/12/24/											2014-11-21	
Profil stalowy prost.zamknięty 100x60x4		3219			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	31.71	37.40	46.00		0	1	1			14														2014-11-21	
ZAWÓR ZWROTNY    5/4*   P		3220			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	24.39	24.64	30.31		0	1	1			14														2014-11-21	
Wiertło met. HSS   4.1		3221			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	1.03	1.14	1.40		0	1	1			14														2014-11-21	
Wiertło met. HSS   4.4		3222			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	1.10	1.22	1.50		0	1	1			14														2014-11-21	
Wiertło met. HSS   6.2		3223			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	1.70	1.79	2.20		0	1	1			14														2014-11-21	
Wiertło met. HSS   6.5		3224			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	1.76	1.87	2.30		0	1	1			14														2014-11-21	
Dolnopułk zawór napeł TS 3/8		3226			Towar	1	Ogólna	kg	Bez SWW	23%	23%	0	1	1	13.90	14.63	18.00		0	1	1			14														2014-11-21	
Kołek rozpor. HAK PR.12		3228			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.73	0.85	1.05		0	1	1			14														2014-11-21	
M.Wkręt fosfat do metalu samow.  4,2x70	016662	3237			Towar	2	MARKA SP. Z O.O.	opak	Bez SWW	23%	23%	0	1	1	3.39	4.31	5.30		0	1	1			14			"KOELNER

1,755kg (otwarte?)"											2014-11-21	
Śruba  6 * 60		3225			Towar	1	Ogólna	kg	Bez SWW	23%	23%	0	1	1	8.54	9.35	11.50		0	1	1			14														2014-11-21	
M.Wkręt fosfat do metalu samow.  4,8x90  250szt.		3238			Towar	2	MARKA SP. Z O.O.	opak	Bez SWW	23%	23%	0	1	1	27.23	28.46	35.00		0	1	1			14			"KOELNER

1,755kg (otwarte?)"											2014-11-21	
SILIKON SANITARNY BEZBARWNY   310ml		3229			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	10.24	10.73	13.20		0	1	1			14														2014-11-21	
KAN Rura 250 * 1000   6.2		3236			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	44.72	46.34	57.00		0	1	1			14			pomarańczowy											2014-11-21	
Czyścik do piany /pistolet/		3235			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	13.90	14.63	18.00		0	1	1			14														2014-11-21	
Zaprawa tynkarska ATLAS 25kg		3234			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	8.41	8.86	10.90		0	1	1			14			Zaprawa tynkarska PSB cem-wap ZT-CW4 25kg											2014-11-21	
Tarcza diamentowa ciągła 125mm	009477	3233			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	14.63	15.37	18.90		0	1	1			14			GUIDE											2014-11-21	
Klin do płytek MAŁY		3232			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	1.21	1.46	1.80		0	1	1			14														2014-11-21	
PP TRÓJNIK  GW  25 x 1/2	027546	3231			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	4.50	5.57	6.85		0	1	1			14			"PPR                          
POLIMARKY"											2014-11-21	
PP KOLANO   20  *  1/2   GZ		3230			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	4.36	4.88	6.00		0	1	1			14														2014-11-21	
M.KAN W Mufa 110		3239			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	3	1	1	2.94	4.15	5.10		0	1	1			14			AQUER											2014-11-21	
FILTR WODY   6/4*		3209			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	29.27	36.00		0	1	1			14														2014-11-20	
PEX Rozdz 5-drog z term+przepł. FERRO	028863	3205			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	0	1	1	337.40	390.24	480.00		0	1	1			14			FERRO                  zawory termostatyczne + przepływomierze											2014-11-20	
PEX Rozdz 6-drog z term+przepł. FERRO	028864	3204			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	0	1	1	382.11	439.02	540.00		0	1	1			14			FERRO                  zawory termostatyczne + przepływomierze											2014-11-20	
SALUS SIŁOWNIK GW		3206			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	39.84	63.41	78.00		0	1	1			14														2014-11-20	
SALUS Termostat pokojowy RT100		3207			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	-9	1	1	36.59	52.85	65.00		0	1	1			14														2014-11-20	
SALUS Listwa KL06 230V		3208			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	-2	1	1	89.41	170.73	210.00		0	1	1			14														2014-11-20	
ZAWÓR KULOWY   6/4*   dław.   RĄCZKA		3211			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	30.89	38.00		0	1	1			14														2014-11-20	
IMM. KOCIOŁ VICTCRIX PRO 55 1L		3212			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	7381.80	8211.38	10100.00		0	1	1			14														2014-11-20	
IMM. Zbiornik UBS 300L SOL V.2		3213			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	2202.85	2804.88	3450.00		0	1	1			14			"napęd zaworu trójdrogowego, rurki podłączeniowe, sonda temp. zasob.
3.022193"											2014-11-20	
Szafka PVC 300x400mm		3214			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	23.58	29.00		0	1	1			14														2014-11-20	
Miska WC wisząca ARMATURA Nive		3216			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	143.00	195.12	240.00		0	1	1			14														2014-11-20	
Miska WC wisząca KOŁO Rekord		3215			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	186.00	235.77	290.00		0	1	1			14														2014-11-20	
PEX Rozdz 7-drog z term+przepł. FERRO	028865	3203			Towar	2	MARKA SP. Z O.O.	kpl.	Bez SWW	23%	23%	0	1	1	430.89	483.74	595.00		0	1	1			14			FERRO                  zawory termostatyczne + przepływomierze											2014-11-20	
SYFON BEZPIECZEŃSTWA		3210			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	17.07	21.00		0	1	1			14														2014-11-20	
IMM. Zestaw do podłączenia dowolnego zasobnika c.w.u.	+ sonda	3202			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	248.00	292.68	360.00		0	1	1			14			K.Z60/100											2014-11-15	
IMM. Kocioł Victrix 20XX TT 1E 1F		3201			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	2900.00	3089.43	3800.00		0	1	1			14														2014-11-14	
Miska wisząca		3197			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	0.01	178.86	220.00		0	1	1			14														2014-11-13	
Wanna nar.130x130x40 ze stel.STANDARD 219		3198			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	499.00	532.52	655.00		0	1	1			14														2014-11-13	
Umywalka INGA 50 KOŁO		3200			Towar	2	MARKA SP. Z O.O.	mb	Bez SWW	23%	23%	0	1	1	59.00	82.93	102.00		0	1	1			14														2014-11-13	
Klapka WINKIEL biała		3196			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	35.00	42.28	52.00		0	1	1			14														2014-11-13	
IMM. ROZETA BIAŁA    90		3199			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	7.72	10.49	12.90		0	1	1			14														2014-11-13	
Grzejnik COSMO V11 600x400		3189			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	145.18	186.99	230.00		0	1	1			14														2014-11-10	
E.Peszel - izolacja elektryczna		3185			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1.10	1.22	1.50		0	1	1			14														2014-11-10	
Brodzik GOLIAT prost.120x80x3x5,5   368		3186			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	339.96	391.87	482.00		0	1	1			14														2014-11-10	
Kabina prysz. SANIKA ALMATEA KDJ 120x80 prawa przej		3187			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1464.63	1625.20	1999.00		0	1	1			14			"SANIKA PREMIUM PLUS E 1000x800x1900 ch/graf
RADAWAJ"											2014-11-10	
Grzejnik COSMO V22 500x800		3188			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	263.98	341.46	420.00		0	1	1			14														2014-11-10	
IMM. GRUPA PRZYŁĄCZENIOWA VICTRIX ZEUS		3190			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	180.70	211.38	260.00		0	1	1			14			60/100											2014-11-10	
KRATKA WENTYLACYJNA 14x20		3191			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	8.94	11.00		0	1	1			14														2014-11-10	
M.Drzwiczki rewizyjne met. komin 140x140	021119	3192			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	9.76	12.00		0	1	1			14			PRZYBYSZ											2014-11-10	
IMM. GRUPA PRZYŁĄCZENIOWA		3193			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	-2	1	1	146.90	182.93	225.00		0	1	1			14			60/100											2014-11-10	
IMM.Zestaw rozdzielny 80x80		3195			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	319.20	373.98	460.00		0	1	1			14														2014-11-10	
